JobName;Odate;OrderId;Status;StartTime;EndTime;AverageRuntime;Deleted;RerunCounter
CTMOAP_J1ZTEC_04_00000_Q;161201;25w9x;Ended OK;20161201191249;20161201191249;000001;0;1
CTMOAP_J1ZTEC_04_99999_Q;161201;25w9z;Ended OK;20161201191254;20161201191254;000001;0;1
CTMOAP_J1ZTEC_04_HIS01_Q;161201;25w9y;Ended OK;20161201191251;20161201191252;000001;0;1
CTMOFA_J1YTEC_04_00002_Q;161201;25w8v;Ended OK;20161201200002;20161201200002;000001;0;1
CTMOFA_J1YTEC_04_99999_Q;161201;25w8u;Ended OK;20161201200007;20161201200007;000001;0;1
CTMOFA_J1YTEC_04_FLG01_Q;161201;25w8t;Ended OK;20161201200004;20161201200004;000001;0;1
CTMOFA_J1YTEC_04_HIS01_Q;161201;25w8s;Ended OK;20161201200003;20161201200004;000001;0;1
CTMSIC_J1YTEC_04_00000_Q;161201;25wmm;Ended OK;20161201190926;20161201190926;000001;0;1
CTMSIC_J1YTEC_04_99999_Q;161201;25wmo;Ended OK;20161201190930;20161201190930;000001;0;1
CTMSIC_J1YTEC_04_HIS01_Q;161201;25wmn;Ended OK;20161201190928;20161201190929;000001;0;1
CTMSIG_J1YTEC_04_00001_Q;161201;25woa;Ended OK;20161201184525;20161201184525;000001;0;1
CTMSIG_J1YTEC_04_99999_Q;161201;25wo9;Ended OK;20161201190041;20161201190041;000001;0;1
CTMSIG_J1YTEC_04_FLG01_Q;161201;25wo8;Ended OK;20161201184532;20161201184532;000001;0;1
CTMSIG_J1YTEC_04_HIS01_Q;161201;25wo7;Ended OK;20161201184527;20161201184531;000003;0;1
CTMSIG_J1ZTEC_04_00000_Q;161201;25wlu;Ended OK;20161201184534;20161201184534;000001;0;1
CTMSIG_J1ZTEC_04_99999_Q;161201;25wly;Ended OK;20161201185714;20161201185714;000001;0;1
CTMSIG_J1ZTEC_04_HIS01_Q;161201;25wlv;Ended OK;20161201184536;20161201184538;000001;0;1
CTMSIG_J1ZTEC_04_WRK01_Q;161201;25wlw;Ended OK;20161201184539;20161201185703;000939;0;1
CTMSIG_J1ZTEC_04_WRK02_Q;161201;25wlx;Ended OK;20161201185704;20161201185713;000007;0;1
CTMSRV_J1YTEC_04_00000_Q;161201;25wr7;Ended OK;20161201190002;20161201190002;000001;0;1
CTMSRV_J1YTEC_04_99999_Q;161201;25wr6;Ended OK;20161201190008;20161201190008;000001;0;1
CTMSRV_J1YTEC_04_HIS01_Q;161201;25wr5;Ended OK;20161201190003;20161201190007;000003;0;1
DICDIC_E12STP_01_00000_Q;161201;25wr8;Ended OK;20161201190000;20161201190000;000001;0;1
DICDIC_E12STP_01_99999_Q;161201;25wra;Ended OK;20161201190726;20161201190726;000001;0;1
DICDIC_E12STP_01_ORA01_Q;161201;25wr9;Ended OK;20161201190002;20161201190725;000221;0;1
DICDIC_E12STR_02_00000_Q;161201;25wrb;Ended OK;20161202003103;20161202003103;000001;0;1
DICDIC_E12STR_02_99999_Q;161201;25wrd;Ended OK;20161202003334;20161202003334;000001;0;1
DICDIC_E12STR_02_ORA01_Q;161201;25wrc;Ended OK;20161202003105;20161202003333;000229;0;1
DICDIC_E13STR_02_00000_Q;161201;25wfp;Ended OK;20161202070000;20161202070000;000001;0;1
DICDIC_E13STR_02_99999_Q;161201;25wfw;Ended OK;20161202071142;20161202071142;000001;0;1
DICDIC_E13STR_02_ORA01_Q;161201;25wfq;Ended OK;20161202070002;20161202070005;000002;0;1
DICDIC_E13STR_02_ORA02_Q;161201;25wfv;Ended OK;20161202070420;20161202071141;000700;0;1
DICDIC_E13STR_02_SNA01_Q;161201;25wfs;Ended OK;20161202070211;20161202070221;000009;0;1
DICDIC_E13STR_02_SNA02_Q;161201;25wft;Ended OK;20161202070222;20161202070256;000034;0;1
DICDIC_E13STR_02_WRK01_Q;161201;25wfr;Ended OK;20161202070006;20161202070210;000155;0;1
DICDIC_E13STR_02_WRK04_Q;161201;25wfu;Ended OK;20161202070257;20161202070419;000119;0;1
DICDIC_E14STR_02_ORA01_M;161201;25y1u;Wait Condition;;;000003;0;0
DICDIC_E14STR_02_ORA02_M;161130;25vqv;Ended OK;20161201132905;20161201133602;000719;0;1
DICDIC_E14STR_02_ORA02_M;161201;25y1z;Wait Condition;;;000719;0;0
DICDIC_E14STR_02_SNA01_M;161201;25y1w;Wait Condition;;;000010;0;0
DICDIC_E14STR_02_SNA02_M;161201;25y1x;Wait Condition;;;000035;0;0
DICDIC_E14STR_02_WRK01_M;161201;25y1v;Wait Condition;;;000202;0;0
DICDIC_E14STR_02_WRK04_M;161201;25y1y;Wait Condition;;;000117;0;0
DICDIC_K12SVG_03_00000_Q;161201;25wre;Ended OK;20161201190728;20161201190728;000001;0;1
DICDIC_K12SVG_03_99999_Q;161201;25wrf;Ended OK;20161202003102;20161202003102;000001;0;1
DICDIC_K12SVG_03_NBU01_Q;161201;25w3d;Ended OK;20161202001502;20161202003101;001550;0;1
DISDIS_E11TEC_04_PUR01_H;161129;25tmw;Wait Condition;;;000357;0;0
DISDIS_E11TEC_XX_EXP01_Q;161129;25rnn;Ended Not OK;20161130000500;;001556;0;1
DISDIS_E11TEC_XX_EXP01_Q;161201;25w2o;Ended OK;20161202000500;20161202001958;001556;0;1
DISDIS_E11TEC_XX_IMPB1_Q;161129;25rnj;Wait Condition;;;005405;0;0
DISDIS_E11TEC_XX_IMPB1_Q;161201;25w2k;Ended OK;20161202024543;20161202033656;005405;0;1
DISDIS_E11TEC_XX_IMPR1_Q;161129;25rnl;Wait Condition;;;005605;0;0
DISDIS_E11TEC_XX_IMPR1_Q;161201;25w2m;Ended OK;20161202015120;20161202024541;005605;0;1
